count,lat_bin,lon_bin,lat_center,lon_center
416,4199,-8782,41.99,-87.82000000000001
412,4195,-8791,41.95,-87.91
404,4166,-8756,41.660000000000004,-87.56
401,4200,-8772,42.0,-87.72
400,4178,-8780,41.78,-87.8
382,4170,-8772,41.7,-87.72
378,4201,-8782,42.01,-87.82000000000001
377,4198,-8774,41.980000000000004,-87.74
374,4200,-8780,42.0,-87.8
367,4197,-8785,41.97,-87.85000000000001
365,4196,-8764,41.96,-87.64
354,4171,-8770,41.71,-87.7
349,4168,-8761,41.68,-87.61
347,4166,-8754,41.660000000000004,-87.54
346,4170,-8769,41.7,-87.69
340,4169,-8772,41.69,-87.72
333,4196,-8784,41.96,-87.84
327,4176,-8773,41.76,-87.73
315,4178,-8757,41.78,-87.57000000000001
308,4184,-8774,41.84,-87.74
303,4183,-8773,41.83,-87.73
296,4166,-8765,41.660000000000004,-87.65
296,4201,-8778,42.01,-87.78
293,4200,-8777,42.0,-87.77
292,4171,-8759,41.71,-87.59
292,4167,-8756,41.67,-87.56
284,4185,-8774,41.85,-87.74
283,4184,-8768,41.84,-87.68
281,4166,-8759,41.660000000000004,-87.59
280,4202,-8781,42.02,-87.81
277,4177,-8778,41.77,-87.78
271,4187,-8761,41.87,-87.61
268,4197,-8764,41.97,-87.64
262,4177,-8779,41.77,-87.79
254,4195,-8784,41.95,-87.84
245,4182,-8766,41.82,-87.66
245,4168,-8771,41.68,-87.71000000000001
244,4191,-8781,41.910000000000004,-87.81
242,4178,-8758,41.78,-87.58
241,4171,-8772,41.71,-87.72
240,4176,-8774,41.76,-87.74
234,4180,-8780,41.800000000000004,-87.8
228,4198,-8789,41.980000000000004,-87.89
212,4200,-8773,42.0,-87.73
212,4189,-8778,41.89,-87.78
200,4202,-8771,42.02,-87.71000000000001
191,4195,-8792,41.95,-87.92
184,4183,-8760,41.83,-87.60000000000001
182,4199,-8784,41.99,-87.84
179,4199,-8776,41.99,-87.76
174,4198,-8783,41.980000000000004,-87.83
171,4167,-8754,41.67,-87.54
170,4170,-8759,41.7,-87.59
165,4171,-8771,41.71,-87.71000000000001
159,4199,-8789,41.99,-87.89
157,4185,-8761,41.85,-87.61
154,4197,-8782,41.97,-87.82000000000001
149,4200,-8775,42.0,-87.75
136,4183,-8771,41.83,-87.71000000000001
136,4196,-8780,41.96,-87.8
129,4200,-8774,42.0,-87.74
128,4181,-8758,41.81,-87.58
126,4200,-8778,42.0,-87.78
126,4201,-8777,42.01,-87.77
125,4168,-8760,41.68,-87.60000000000001
120,4199,-8783,41.99,-87.83
114,4182,-8774,41.82,-87.74
112,4168,-8753,41.68,-87.53
110,4182,-8773,41.82,-87.73
97,4167,-8755,41.67,-87.55
96,4173,-8774,41.730000000000004,-87.74
89,4201,-8779,42.01,-87.79
